file,PWV_kg/m^2,z_at_50pct_m,T_antenna,sigma_T,N_used
00121414_geop5000.parquet,0.6761370242869738,5500.201443857066,[4.78735115],0.005679313438353042,5619
00121418_geop5000.parquet,0.7933235475118916,5670.123625416373,[5.36493304],0.0052926165784620335,3814
00121514_geop5000.parquet,0.9091012934663668,5574.932885499038,[6.01777581],0.006481418183541114,3682
00121518_geop5000.parquet,0.4551342494733917,5767.011419428725,[3.6492284],0.00466808934238191,4232
00121614_geop5000.parquet,1.052096910615643,5569.498637473821,[6.65280811],0.00707950652440816,3758
00121615_geop5000.parquet,1.6188842483262749,5865.686243146158,[9.2935992],0.008161730469791883,4269
00121618_geop5000.parquet,1.074737672594766,5550.980065180688,[6.78275405],0.006351643891259319,3685
00121713_geop5000.parquet,2.198985964131288,5611.35386736898,[12.62006682],0.008171059864848737,4474
01033103_geop5000.parquet,1.9660579788970998,5700.479700442321,[11.37587372],0.008535612877802091,4574
01040403_geop5000.parquet,3.226052460501252,5995.304428248719,[17.73855857],0.012014425824287288,3745
01040405_geop5000.parquet,2.6134554107206247,5673.659959678283,[14.72287738],0.010068400427408156,4360
01040507_geop5000.parquet,1.4756077719148917,5600.194958509666,[8.92258942],0.007733085098547109,3452
01040508_geop5000.parquet,1.1224502002299275,5471.917186471709,[7.30116972],0.0054631283378965625,4035
01040605_geop5000.parquet,0.3222150894076474,7273.192843794294,[2.55945774],0.005567926997732902,3259
01040608_geop5000.parquet,1.3213308589968566,5662.358153059986,[7.41435219],0.007683207358756223,2816
01040609_geop5000.parquet,1.2853886029002055,5407.680524521992,[7.56472855],0.006864630744534217,2041
01040901_geop5000.parquet,3.229419215841893,5870.17813043801,[17.29397928],0.014159243689348622,4223
01040903_geop5000.parquet,2.289945678771495,6233.808439387527,[11.98415285],0.01420837675996837,6507
01040905_geop5000.parquet,1.942977467353169,6668.717466961972,[9.96631871],0.013547396997396426,4228
01041001_geop5000.parquet,1.7482904913700772,5811.490754392702,[10.06730187],0.007269263978166158,5626
01041003_geop5000.parquet,1.109425377532676,5835.421720884123,[6.5008204],0.006249601064624188,4234
01041006_geop5000.parquet,2.131949889859588,5862.8986304849595,[11.80668918],0.010913985910537521,5226
01041008_geop5000.parquet,0.9882496796102354,5808.6298013956375,[6.31507862],0.005866739191933907,5591
01041101_geop5000.parquet,2.6695346068522805,5768.020914205746,[14.83010402],0.010691403302324577,4639
01041103_geop5000.parquet,2.8212513697042687,5776.912526315183,[15.65168332],0.009070455605005244,5467
01041104_geop5000.parquet,1.019162538980512,5615.5323881447075,[6.33111923],0.0071191461352989914,3712
01041106_geop5000.parquet,3.2636853673245976,5904.67797330143,[17.73498868],0.011351504582808158,3145
01041107_geop5000.parquet,3.133880968051901,5891.335479116106,[17.14844789],0.010110866526683587,4739
01041109_geop5000.parquet,3.19566353766044,5932.034726398071,[17.31487241],0.0123934948137542,3783
01042419_geop5000.parquet,2.13277459468029,5860.63998389588,[12.16403918],0.010100572195823155,2780
01042513_geop5000.parquet,1.1893004586600249,6135.359718664325,[7.05112938],0.00819484087165731,5516
01042518_geop5000.parquet,0.8292620831940754,5353.670636233983,[5.69750043],0.003381852019417813,2927
01042602_geop5000.parquet,1.3972519961492542,5595.731628991779,[8.37187144],0.007055765645041436,2471
01042614_geop5000.parquet,0.008552113906957549,5028.802739148669,[0.05082335],1.0244597202803376e-05,34
01042619_geop5000.parquet,0.5185808591467038,5796.668029088426,[4.02525525],0.00472195766733278,4428
01042700_geop5000.parquet,0.5934902550394969,5270.213755927772,[3.65379265],0.0021851139027878187,508
01042714_geop5000.parquet,0.38866401528536526,6307.673353285731,[3.30942859],0.005068622132923453,4762
01042718_geop5000.parquet,0.7165581961695974,6027.781232861579,[4.82390929],0.007858755397308008,4268
01042815_geop5000.parquet,1.6185945943487838,6696.721113920128,[8.87987923],0.012052249859291124,4302
01042819_geop5000.parquet,1.893667320635735,6043.100611528296,[10.811148],0.008507728113791618,2072
01042900_geop5000.parquet,2.254035001156706,5962.961315636192,[12.72443192],0.009481924148534623,3375
01042914_geop5000.parquet,3.7978495976542304,6351.371164920373,[19.58144849],0.01634735527170754,2066
01042919_geop5000.parquet,2.121574409079418,5675.528176623745,[11.92970364],0.006844588834178633,317
01043000_geop5000.parquet,3.2034851552290373,5763.516869687923,[21.2099623],0.011836893870939677,4493
01043014_geop5000.parquet,1.731852437745084,5940.573784174464,[10.16409136],0.009238523706431901,3767
