file,PWV_kg/m^2,z_at_50pct_m,T_antenna,sigma_T,N_used
00071315_geop5000.parquet,0.2675245658668023,5584.135395536531,[2.8711092],0.0012164631217993981,3091
00071319_geop5000.parquet,0.2804415655829556,5789.3991220304815,[2.85866155],0.001712002941610388,2797
00071414_geop5000.parquet,0.770109862282084,6298.712077855976,[4.93246956],0.007382500830218142,1462
00071513_geop5000.parquet,0.7699536625627149,5484.974221224656,[5.3740914],0.0029074425776526775,3122
00071721_geop5000.parquet,1.2793915401846045,6338.4162038534405,[7.40398582],0.009497035659190332,2456
00071918_geop5000.parquet,0.38988955613774123,5478.006065996308,[3.41206653],0.0014593811774911325,1985
00072302_geop5000.parquet,0.546459305510701,5675.878117503408,[4.0218047],0.0025160532078195093,2523
00072504_geop5000.parquet,0.49743100280244157,5889.982005295032,[3.83915128],0.0027025820638193632,2675
00072518_geop5000.parquet,0.5720068710011179,5934.561563146118,[4.34480725],0.003128814495907278,3554
00072617_geop5000.parquet,1.1800495422289332,6736.159140122738,[6.85237877],0.012718977638221276,5427
00072804_geop5000.parquet,0.7026762578103805,5862.825249796372,[4.58472005],0.0037412397094686058,2122
00072818_geop5000.parquet,0.878447772155779,5822.086881366617,[5.67164685],0.0051847455975807715,2256
00072910_geop5000.parquet,1.0185689389517638,5675.447192684766,[6.35078775],0.004619081567973516,1571
00073009_geop5000.parquet,1.06137162541083,5681.654128049317,[6.76622554],0.005113281106616307,2030
00073018_geop5000.parquet,0.661579746865014,5809.878956566008,[4.80192836],0.003556101185195717,3369
00073109_geop5000.parquet,0.2974421748391058,5470.127785063261,[2.87839596],0.0010079446763202422,2757
00073117_geop5000.parquet,0.10284471755156968,16573.37443140074,[0.71424019],0.00016750549279804372,184
00073118_geop5000.parquet,0.2900115071074206,5429.948082195079,[2.929986],0.0009822043989432976,2439
00080109_geop5000.parquet,0.1856601722719737,5809.741102181575,[1.90598727],0.0014868703646626197,2174
00080209_geop5000.parquet,0.2086464505309486,5460.638352018502,[2.00248821],0.0009126183350038093,1278
00080313_geop5000.parquet,0.20758720276401044,6200.702484618056,[2.46508771],0.0021230160743309838,5817
00080322_geop5000.parquet,0.5140351780716262,5667.8523527276075,[3.87436639],0.0031354354978547433,3694
00080411_geop5000.parquet,0.6826223594528276,5486.304729144402,[4.8193542],0.002684745543106545,1912
00080603_geop5000.parquet,0.5888383323696318,5356.171546582199,[4.45183886],0.001721323718197945,2568
00082215_geop5000.parquet,1.0759015401829124,5687.65924362327,[6.85614563],0.005661428245321811,3158
00121216_geop5000.parquet,4.283692959951665,6709.415331534877,[20.84314943],0.040209574083883044,4130
00121316_geop5000.parquet,0.9690576945152007,6096.254745003688,[6.16877451],0.006906474430472803,5344
00121318_geop5000.parquet,0.9999621580836938,5950.823052077609,[6.0112615],0.0058145487815742915,2304
00121414_geop5000.parquet,0.6761370242869738,5500.201443857066,[4.70807887],0.003195486604384774,5619
00121418_geop5000.parquet,0.7933235475118916,5670.123625416373,[5.31630475],0.0036118105991978966,3814
00121514_geop5000.parquet,0.9091012934663668,5574.932885499038,[5.91846231],0.004260255803166092,3682
00121518_geop5000.parquet,0.4551342494733917,5767.011419428725,[3.61092251],0.0030869671226700464,4232
00121614_geop5000.parquet,1.052096910615643,5569.498637473821,[6.5426726],0.004735742111048291,3758
00121615_geop5000.parquet,1.6188842483262749,5865.686243146158,[9.23275879],0.009026418362329076,4269
00121618_geop5000.parquet,1.074737672594766,5550.980065180688,[6.68360245],0.0051757304296069446,3685
00121713_geop5000.parquet,2.198985964131288,5611.35386736898,[12.37146796],0.011608694802313302,4474
01033103_geop5000.parquet,1.9660579788970998,5700.479700442321,[11.18057381],0.008530068942197712,4574
01040403_geop5000.parquet,3.226052460501252,5995.304428248719,[17.53395669],0.019838942928175514,3745
01040405_geop5000.parquet,2.6134554107206247,5673.659959678283,[14.54774374],0.013814894414536837,4360
01040507_geop5000.parquet,1.4756077719148917,5600.194958509666,[8.74927235],0.005804194998257725,3452
01040508_geop5000.parquet,1.1224502002299275,5471.917186471709,[7.16838694],0.0037545699311383822,4035
01040605_geop5000.parquet,0.3222150894076474,7273.192843794294,[2.51473504],0.003518258238511882,3259
01040608_geop5000.parquet,1.3213308589968566,5662.358153059986,[7.19738595],0.007645182215653551,2816
01040609_geop5000.parquet,1.2853886029002055,5407.680524521992,[7.28447899],0.007404016920168719,2041
01040901_geop5000.parquet,3.229419215841893,5870.17813043801,[16.85463395],0.018341541471871288,4223
01040903_geop5000.parquet,2.289945678771495,6233.808439387527,[11.55466343],0.01756476056951907,6507
01040905_geop5000.parquet,1.942977467353169,6668.717466961972,[9.79749693],0.023436476089990013,4228
01041001_geop5000.parquet,1.7482904913700772,5811.490754392702,[9.90085403],0.009145450691501203,5626
01041003_geop5000.parquet,1.109425377532676,5835.421720884123,[6.43553859],0.005021796707280353,4234
01041006_geop5000.parquet,2.131949889859588,5862.8986304849595,[11.61685806],0.011012772756102306,5226
01041008_geop5000.parquet,0.9882496796102354,5808.6298013956375,[6.22030294],0.005019554541299567,5591
01041101_geop5000.parquet,2.6695346068522805,5768.020914205746,[14.61804825],0.01282177272748723,4639
01041103_geop5000.parquet,2.8212513697042687,5776.912526315183,[15.40909066],0.014554758042653491,5467
01041104_geop5000.parquet,1.019162538980512,5615.5323881447075,[6.15666124],0.00592747670208473,3712
01041106_geop5000.parquet,3.2636853673245976,5904.67797330143,[17.4887823],0.016693805166688263,3145
01041107_geop5000.parquet,3.133880968051901,5891.335479116106,[16.88227733],0.016655336876639584,4739
01041109_geop5000.parquet,3.19566353766044,5932.034726398071,[17.08333681],0.018494175906100873,3783
01042419_geop5000.parquet,2.13277459468029,5860.63998389588,[12.0218315],0.011720865450497157,2780
01042513_geop5000.parquet,1.1893004586600249,6135.359718664325,[6.95715566],0.00805712795321557,5516
01042518_geop5000.parquet,0.8292620831940754,5353.670636233983,[5.6536055],0.0029483951727605887,2927
01042602_geop5000.parquet,1.3972519961492542,5595.731628991779,[8.22420096],0.006472757479041252,2471
01042614_geop5000.parquet,0.008552113906957549,5028.802739148669,[0.05049779],5.724897348421877e-06,34
01042619_geop5000.parquet,0.5185808591467038,5796.668029088426,[3.96534635],0.002618545224857575,4428
01042700_geop5000.parquet,0.5934902550394969,5270.213755927772,[3.60362197],0.001648331788962555,508
01042714_geop5000.parquet,0.38866401528536526,6307.673353285731,[3.25644869],0.0033073293025663443,4762
01042718_geop5000.parquet,0.7165581961695974,6027.781232861579,[4.75328629],0.007343230147506773,4268
01042815_geop5000.parquet,1.6185945943487838,6696.721113920128,[8.83197778],0.015952273782970938,4302
01042819_geop5000.parquet,1.893667320635735,6043.100611528296,[10.73902122],0.014432153896800842,2072
01042900_geop5000.parquet,2.254035001156706,5962.961315636192,[12.59259365],0.01353807896367401,3375
01042914_geop5000.parquet,3.7978495976542304,6351.371164920373,[19.34715095],0.028615770700605135,2066
01042919_geop5000.parquet,2.121574409079418,5675.528176623745,[11.84588302],0.01247802619143962,317
01043000_geop5000.parquet,3.2034851552290373,5763.516869687923,[20.91028782],0.018951934134123872,4493
