filename,RMSE_K,Max_Err_K
00060716_geop5000.parquet,0.008974952860932596,0.031585882996296166
00060814_geop5000.parquet,0.00829043754514161,0.014382764889441617
00060820_geop5000.parquet,0.010624456036568817,0.04041223516416824
00062616_geop5000.parquet,0.007739012651200636,0.009938577343445207
00062618_geop5000.parquet,0.003315195918537505,0.004840057720395807
00062718_geop5000.parquet,0.0039028680757713973,0.006127535991782201
00062811_geop5000.parquet,0.0073443889724174845,0.01293000076318282
00062813_geop5000.parquet,0.006189850485922745,0.011528718908842724
00063010_geop5000.parquet,0.010321795953575425,0.03764724198761786
00063013_geop5000.parquet,0.005961151789447578,0.02194589378817087
00063016_geop5000.parquet,0.0073310553548192004,0.025132747733073987
00070110_geop5000.parquet,0.01304075341055525,0.02223774808027866
00070113_geop5000.parquet,0.0031388495310691873,0.012362309204567351
00071214_geop5000.parquet,0.005878653447737511,0.011940352191267302
00071219_geop5000.parquet,0.005525267924292899,0.006919451730096518
00071315_geop5000.parquet,0.007125881353063305,0.026432421166389913
00071319_geop5000.parquet,0.0067954216225540355,0.02067526140443103
00071513_geop5000.parquet,0.0060599113163060485,0.024203322718095763
00071721_geop5000.parquet,0.005541785910928458,0.010735583875130343
00071918_geop5000.parquet,0.010626217981665664,0.03581576716057834
00072302_geop5000.parquet,0.0042163706468408635,0.01065168565102826
00072504_geop5000.parquet,0.005301427052066539,0.01193931591685457
00072518_geop5000.parquet,0.010728866459783536,0.014663912409759547
00072617_geop5000.parquet,0.005230579404603231,0.009788912903218754
00072818_geop5000.parquet,0.010948203296517078,0.015389335675793894
00072910_geop5000.parquet,0.008402505863371325,0.024777361238941226
00073018_geop5000.parquet,0.007014784777071012,0.017938065502166027
00073109_geop5000.parquet,0.00861745632850252,0.03057424667261331
00073118_geop5000.parquet,0.012920150033831972,0.046677888313059565
00080313_geop5000.parquet,0.010468613989966492,0.022120966869697806
00080322_geop5000.parquet,0.010774941661224774,0.030052213918788123
00080411_geop5000.parquet,0.016358616921513004,0.05589119036895196
00080603_geop5000.parquet,0.011784177075100294,0.038632831480777924
00082215_geop5000.parquet,0.012540789650045613,0.03178026902104683
00121216_geop5000.parquet,0.008332231961662755,0.01992817301832683
00121316_geop5000.parquet,0.015504737889055951,0.02065539031475122
00121318_geop5000.parquet,0.009097458722099437,0.011574289451292071
00121414_geop5000.parquet,0.007533859802809556,0.028570026364711537
00121418_geop5000.parquet,0.010578937420694733,0.03227635658385951
00121514_geop5000.parquet,0.011724610723317468,0.03669049679075492
00121518_geop5000.parquet,0.014909506158555418,0.03312839837926275
00121614_geop5000.parquet,0.010203362461504755,0.03411652307945909
00121615_geop5000.parquet,0.00725821442152728,0.018281236519924506
00121618_geop5000.parquet,0.016154817238614533,0.05061623507701589
00121713_geop5000.parquet,0.012242829677182277,0.03388673000049189
01040403_geop5000.parquet,0.011100287179191372,0.015521477336623665
01040405_geop5000.parquet,0.007059606298801006,0.01875924833745138
01040507_geop5000.parquet,0.009133033416099319,0.0300002268810277
01040508_geop5000.parquet,0.013766738269809214,0.04540505707289237
01040608_geop5000.parquet,0.004554466805015968,0.015285559497448961
01040609_geop5000.parquet,0.012672235283278342,0.0364475370928051
01040901_geop5000.parquet,0.00297730231370016,0.010796754085760966
01040903_geop5000.parquet,0.00336685329462178,0.005182777823590001
01040905_geop5000.parquet,0.0034707733129861434,0.010719213174479256
01041001_geop5000.parquet,0.004971120431497493,0.009980726163150405
01041003_geop5000.parquet,0.005390459684159149,0.015093101034358763
01041006_geop5000.parquet,0.0035664716878099265,0.0108983520376245
01041008_geop5000.parquet,0.005385569052601592,0.007877341121539344
01041101_geop5000.parquet,0.006109835051500854,0.019656063843826482
01041103_geop5000.parquet,0.0057105563429721415,0.015036045640746232
01041104_geop5000.parquet,0.008610458201650404,0.013698522582382553
01041106_geop5000.parquet,0.006476174385784549,0.00863603496718962
01041107_geop5000.parquet,0.005371482448302366,0.00677246602098433
01041109_geop5000.parquet,0.005516217479309227,0.0068563118716868515
01042419_geop5000.parquet,0.007564598207721623,0.011143694989267663
01042518_geop5000.parquet,0.015720219821431222,0.05633104382996004
01042602_geop5000.parquet,0.005581253896172668,0.021535685346384226
01042619_geop5000.parquet,0.0037968801914168592,0.013310218498287549
01042714_geop5000.parquet,0.003584873407866584,0.0076884609295399114
01042718_geop5000.parquet,0.01002971402089896,0.01752969615233657
01042815_geop5000.parquet,0.010343626188029713,0.024907374261572943
01042819_geop5000.parquet,0.014323376949878678,0.0201305028993837
01042900_geop5000.parquet,0.006993823954660338,0.008953877041353697
01042914_geop5000.parquet,0.004369159817189192,0.006106884258771206
01043014_geop5000.parquet,0.00925273851647391,0.013478520686168498
01043018_geop5000.parquet,0.006617132792779299,0.00888697946011996
01050114_geop5000.parquet,0.010065950413942428,0.022561660891945765
01050119_geop5000.parquet,0.0030283047929585954,0.0064973816227714
01050123_geop5000.parquet,0.009720929213977289,0.02419677707297274
01050219_geop5000.parquet,0.0022168903550264032,0.0035584675256394305
01050300_geop5000.parquet,0.004014156933383443,0.014570031853295112
01050314_geop5000.parquet,0.006254121109065432,0.009101920649186662
01050318_geop5000.parquet,0.004415735531783407,0.007796465937009257
01050400_geop5000.parquet,0.00893509630313277,0.02620013981064455
01050414_geop5000.parquet,0.012214176095685517,0.018574574051421253
01050418_geop5000.parquet,0.004500529701543208,0.007227058614843046
01050423_geop5000.parquet,0.0029379404570860864,0.007633624217586413
01050514_geop5000.parquet,0.005431812638774378,0.009565478591165952
01050516_geop5000.parquet,0.006992161504046574,0.008890090018970606
01050518_geop5000.parquet,0.0033893549824970874,0.006155432365173685
01120719_geop5000.parquet,0.011531032889994753,0.028122938764830033
01120814_geop5000.parquet,0.01088622735901506,0.015645212501220085
