filename,T_sky_K,Transmission
00060716_geop5000.parquet,153.5157770459124,0.39298975743054954
00060814_geop5000.parquet,152.8597054182821,0.39652564034316284
00060820_geop5000.parquet,153.3037602536536,0.39370078783267626
00062616_geop5000.parquet,152.73276761644405,0.39361930361818726
00062618_geop5000.parquet,152.8676575888145,0.3933480813462923
00062718_geop5000.parquet,152.71013052077063,0.3951966808272366
00062811_geop5000.parquet,154.22448563754796,0.3849535513661174
00062813_geop5000.parquet,154.94942149688382,0.3827162625346524
00063010_geop5000.parquet,153.77957421706765,0.3947702721564863
00063013_geop5000.parquet,152.85885114045533,0.40057573525895646
00063016_geop5000.parquet,152.89216232562734,0.4007917911461763
00070110_geop5000.parquet,152.18680920666785,0.4016392828349051
00070113_geop5000.parquet,153.2782822284595,0.3978516958838935
00071214_geop5000.parquet,154.1192177640454,0.38358882222058227
00071219_geop5000.parquet,154.20490098955344,0.38322667273912786
00071315_geop5000.parquet,153.50138637112778,0.3917405656140101
00071319_geop5000.parquet,152.19034560971238,0.3984152041227293
00071513_geop5000.parquet,153.1355787774084,0.3903128409772176
00071721_geop5000.parquet,153.591832994514,0.3880105287026462
00071918_geop5000.parquet,153.2446693148396,0.3884455931010306
00072302_geop5000.parquet,153.4478497798618,0.3802055846733921
00072504_geop5000.parquet,153.73607632701626,0.39129834905887134
00072518_geop5000.parquet,153.66334388485552,0.395267212245664
00072617_geop5000.parquet,153.2767285836522,0.39776274640166026
00072818_geop5000.parquet,152.4904709402847,0.3984501562280645
00072910_geop5000.parquet,152.74598783163603,0.39225656051364616
00073018_geop5000.parquet,153.65692411540766,0.3844532311773549
00073109_geop5000.parquet,152.48426753709026,0.39562001208057584
00073118_geop5000.parquet,151.6971091972291,0.40177580751417485
00080313_geop5000.parquet,151.3428465121832,0.4056950120543169
00080322_geop5000.parquet,152.37812494694305,0.40133289315946186
00080411_geop5000.parquet,151.13184158510686,0.409356994747881
00080603_geop5000.parquet,152.80867138818104,0.3947855397939834
00082215_geop5000.parquet,153.5447786430834,0.3951232197686604
00121216_geop5000.parquet,154.99059258022695,0.4051685718807146
00121316_geop5000.parquet,150.77096327230905,0.41694854296103484
00121318_geop5000.parquet,150.55193061853277,0.41817194289504517
00121414_geop5000.parquet,150.83681120705182,0.4146712145956828
00121418_geop5000.parquet,150.97237869879314,0.41389041278023164
00121514_geop5000.parquet,151.72900165801008,0.4085406640117807
00121518_geop5000.parquet,150.39987494618876,0.4157687072688524
00121614_geop5000.parquet,152.1561752796285,0.4094827329630355
00121615_geop5000.parquet,152.85251225085747,0.4085759026744459
00121618_geop5000.parquet,151.53404595826018,0.41451970127600535
00121713_geop5000.parquet,153.31850046110344,0.4097281651377724
01040403_geop5000.parquet,156.25658715920778,0.3960859367010743
01040405_geop5000.parquet,154.17911656722427,0.4006956612890376
01040507_geop5000.parquet,152.50527256671305,0.40626333158433675
01040508_geop5000.parquet,151.44864226443838,0.4102740467481482
01040608_geop5000.parquet,149.37943762474066,0.4161934945104833
01040609_geop5000.parquet,151.22473848159632,0.41269946430393045
01040901_geop5000.parquet,156.04858520693892,0.3970175734917455
