filename,PWV_mm,T_eff_K,T_moy_K,T_min_K,z_moy_m,std_vert_m
00060716_geop5000.parquet,0.558548349622334,262.6094746861396,262.64578089980125,266.46,5562.8758354681895,846.6735334559256
00060814_geop5000.parquet,0.19306299517272457,260.52117907656327,260.82534988887073,268.2,6235.246895836741,1168.0157875565951
00060820_geop5000.parquet,0.5561936595705406,264.0142489095322,264.76692207029816,268.03,5574.474609361962,849.0693084789901
00062616_geop5000.parquet,0.3474606769363168,258.4647889104933,257.59289266914476,270.75,6304.2355204461355,1161.7552510530165
00062618_geop5000.parquet,0.36271836048382344,257.6875127483578,256.8696304224863,271.90999999999997,6404.091867340913,1214.9090488034078
00062718_geop5000.parquet,0.4021873994468014,259.7942562886316,259.174935279218,269.92999999999995,6219.1642494522075,1119.1796227128173
00062811_geop5000.parquet,1.2021871749427475,254.82042739542015,255.34375714480075,263.08,6603.841578427924,1177.421315117929
00062813_geop5000.parquet,1.2901314034723501,254.9510065531884,255.11793505373194,265.45,6650.645295708758,1166.200448709086
00063010_geop5000.parquet,0.9183441798991567,263.67132762868135,264.72473858269524,264.26,5698.010712320597,931.7367045722925
00063013_geop5000.parquet,0.8353406308395823,263.7808716111599,264.6954680033251,269.51,5926.729999604151,1089.0644508743403
00063016_geop5000.parquet,0.8795968780506528,264.3282392125781,264.16788961810556,274.67999999999995,5969.8352559063715,1021.8959836627387
00070110_geop5000.parquet,0.5583096591315895,260.4106838571389,261.58165564358615,263.72999999999996,6305.001322769664,1151.2866378577655
00070113_geop5000.parquet,0.8235836097689899,261.80315314114216,262.5781110633287,268.81,6160.940871775302,1142.7067525711768
00071214_geop5000.parquet,0.5457081745547168,257.5773611544748,257.50748646925916,267.77,6164.584944135813,1040.0604869896308
00071219_geop5000.parquet,0.5436788425558865,256.68631459809126,255.57213671383738,267.71,6297.08727449508,1110.2450534720415
00071315_geop5000.parquet,0.2647011609960867,261.05204464272555,261.33625280470426,269.62,6050.050063947061,1222.0790991758563
00071319_geop5000.parquet,0.2711944743378111,260.01889952530837,260.4431551633678,269.16999999999996,6191.577581683929,1324.0304389675648
00071513_geop5000.parquet,0.7633885710937498,257.9052184307299,257.4402182451413,264.27,5924.975642283338,1152.2014362995983
00071721_geop5000.parquet,1.272174946766776,254.12825589491086,252.80026088122634,265.0,6601.973911877365,1189.297252326789
00071918_geop5000.parquet,0.3928288827802772,261.22308136040766,260.81929461579125,267.03999999999996,5715.989248205537,843.5703844656758
00072302_geop5000.parquet,0.5592136009440329,256.2980545766882,256.58910966184635,261.37,5963.260711172721,1003.5183505610433
00072504_geop5000.parquet,0.4951772996973446,260.93162020378304,260.81674953061156,268.65,6193.642443701891,1093.064441170523
00072518_geop5000.parquet,0.5726903957833962,264.1106672213244,263.8091441442845,274.21999999999997,6070.580499838846,831.164145066831
00072617_geop5000.parquet,1.1822204758745976,257.4823570176637,256.80643284743206,273.16999999999996,6796.997292794058,1134.8202555574755
00072818_geop5000.parquet,0.8812680578877232,260.69406214892126,259.95497835654777,269.69,5930.980613418718,779.7328267884149
00072910_geop5000.parquet,1.0165068950821883,256.7929704459162,258.1002059275564,258.67999999999995,6006.108909129243,1055.1909656319763
00073018_geop5000.parquet,0.6680567797440332,257.2954474167628,256.28280418410606,266.28,6023.772927027343,867.1645419078627
00073109_geop5000.parquet,0.3099423050313731,260.4651400187905,261.3081294419972,263.2,5760.161802496524,936.9537234852327
00073118_geop5000.parquet,0.29156754780005373,263.7036658135926,263.1586168995032,269.62,5726.437635247018,953.459434845974
00080313_geop5000.parquet,0.20089053063879617,257.84995883672445,259.24012435213,267.65,6691.199411874316,1628.0292805503827
00080322_geop5000.parquet,0.5145328223367833,259.7186807530479,261.8858747976749,267.42999999999995,6318.495797004257,1462.2332997760413
00080411_geop5000.parquet,0.6860711408746766,262.88913261394407,265.6386692922619,263.96,5762.324906876569,970.7923221292737
00080603_geop5000.parquet,0.6117793055291827,262.0349696601029,262.007286977963,264.91999999999996,5621.785503672828,889.2302414229056
00082215_geop5000.parquet,1.0801251543828883,262.1001818546885,260.5999766764871,270.25,5978.176020184437,1055.7717629358542
00121216_geop5000.parquet,4.250462489962382,262.62280760111844,262.9803897555215,277.28,6881.465252822963,1215.4600274222848
00121316_geop5000.parquet,0.9698993716524924,265.20712309436374,264.799926719622,273.96999999999997,6114.014656075595,831.3583160499254
00121318_geop5000.parquet,0.9931351104115088,265.5111015714765,264.41787357085894,279.03,6125.253146326312,961.834055194044
00121414_geop5000.parquet,0.7053130413040073,264.8502607481138,266.89697356341094,270.83,6041.8233318030525,1182.7728388756732
00121418_geop5000.parquet,0.7850162149575783,265.7596580714611,267.0705664519873,277.12,5998.6432403360095,1011.0831636788258
00121514_geop5000.parquet,0.9049979326629971,263.8125822074812,263.7120257155753,271.32,5986.012857787668,1182.450073038908
00121518_geop5000.parquet,0.4448377909889839,262.90379238100445,264.9722343285638,275.85999999999996,6387.117910391682,1415.77268849372
00121614_geop5000.parquet,1.050517317876267,267.6772325179155,268.0304661022462,276.14,5972.755909841424,1159.4204572028095
00121615_geop5000.parquet,1.6055696694677344,267.9344566779028,267.43260293916126,280.01,6133.0441178709725,1030.494102723636
00121618_geop5000.parquet,1.0603703039628471,268.9169505384365,269.92838850203134,278.23999999999995,5942.874902715405,1217.1414558473455
00121713_geop5000.parquet,2.192326776429912,267.78524384557005,267.2335434007841,275.84,5998.348365758036,1264.6077333504552
01040403_geop5000.parquet,3.3212302366198903,266.7678554253461,267.3005506864847,273.54999999999995,6074.919016693419,929.819651957859
01040405_geop5000.parquet,2.6513233483977703,266.02315407926267,266.97310372199814,272.48999999999995,5967.2406950045,1003.182193648497
01040507_geop5000.parquet,1.5646120175835712,264.46900047959446,265.11687165365805,268.91999999999996,5888.282086585488,1041.9255119475429
01040508_geop5000.parquet,1.125868191691084,264.41542441272566,265.4686954081154,267.10999999999996,5783.115901352576,1090.1357481485063
01040608_geop5000.parquet,1.368930335398926,262.9058658333323,264.6997151669403,269.79999999999995,6181.413280112733,1331.5931300736268
01040609_geop5000.parquet,1.3028193168992408,264.6490513486127,267.59092121730174,269.56,6030.9621195931895,1419.7225894006817
01040901_geop5000.parquet,3.264785882542969,264.37137918557966,266.201126292963,270.67999999999995,6315.85274805454,1357.7292005100733
01040903_geop5000.parquet,2.252029971542521,262.26896298464493,263.53949025177195,271.2,6660.2795830051855,1531.444506276923
01040905_geop5000.parquet,1.9074196901441567,259.91230639977664,260.2659702704854,272.48999999999995,7013.5840942075565,1489.6117404684755
01041001_geop5000.parquet,1.817080823688772,266.2007043506288,266.3994723706631,271.65999999999997,6047.681860635345,1036.7788805168336
01041003_geop5000.parquet,1.1342994268010984,262.6105123891762,261.60646827395385,270.81,6138.099814543785,1078.5936471528287
01041006_geop5000.parquet,2.1680555776160038,264.554989295671,264.4012713465683,272.28999999999996,6191.534234732465,1138.2173027966337
01041008_geop5000.parquet,1.0363055546528779,265.79992822225523,266.2155276187605,272.21,6008.010644299922,1005.5167198468295
01041101_geop5000.parquet,2.794244494332544,266.397270457373,268.37323500315875,270.91999999999996,6058.8132038916765,1059.404081776068
01041103_geop5000.parquet,2.9079755590092082,266.962089177144,267.74313237319046,272.91999999999996,6026.56618659525,1023.0823643573407
01041104_geop5000.parquet,1.040355399376027,266.5325402653416,267.5156657038031,273.15999999999997,6078.724237537612,1237.1986123438019
01041106_geop5000.parquet,3.3382811936317007,265.6023624099842,266.0349389156171,272.31,6120.318862956549,1005.7031587597739
01041107_geop5000.parquet,3.2261092547390495,265.3596355143493,265.2762673616857,272.21,6115.485217461136,1037.1114798406904
01041109_geop5000.parquet,3.256150577718523,265.2645972678615,264.99988974900594,272.03,6165.335917458957,1043.2832844130794
01042419_geop5000.parquet,2.159087388398651,259.41479042013543,257.7900108894876,268.16999999999996,6163.273372611716,1175.2549638890218
01042518_geop5000.parquet,0.8284196928994607,265.1401461859311,264.0157558909218,271.22999999999996,5501.318898988719,673.8071128784533
01042602_geop5000.parquet,1.4058683602098427,262.7280273990527,263.38629097568565,265.48999999999995,6019.93072007485,1103.2871599487912
01042619_geop5000.parquet,0.5144179149504562,263.7867921919403,263.42940287009594,276.7,6186.746283987202,1143.2762510987282
01042714_geop5000.parquet,0.3727927791802673,261.0659933850631,261.25028482463887,273.76,6573.530739337307,1365.9534037755004
01042718_geop5000.parquet,0.6908234835035751,259.9244513950455,260.7634716884543,272.34999999999997,6562.483263493433,1394.237900220484
01042815_geop5000.parquet,1.6069044635529526,256.9120354525679,255.914646978144,272.38,6827.044598536773,1084.2594314098778
01042819_geop5000.parquet,1.9015456603243923,262.26503313167024,261.70420285591126,273.69,6091.53080376386,760.7451599961594
01042900_geop5000.parquet,2.29444055002017,260.62877791226435,259.5609702984343,268.7,6164.981648875608,989.7865105760148
01042914_geop5000.parquet,3.7810001699352336,257.2317406295413,257.5999437045994,269.60999999999996,6589.842435466219,1249.1042148721042
01043014_geop5000.parquet,1.7602819364357072,259.48472455866784,258.263198439082,269.72999999999996,6155.060330565655,1105.3575450381952
01043018_geop5000.parquet,1.9416466499645506,260.25955428471195,258.9995963177882,274.38,6197.27205953232,1109.0432244080823
