filename,PWV_mm,T_eff_K,T_moy_K,T_min_K,z_moy_m,std_vert_m,T_sky_K,Transmission
00060716_geop5000.parquet,0.558548349622334,262.6094746861396,262.64578089980125,266.46,5562.8758354681895,846.6735334559256,8.161124961229662,0.9687257825595875
00060814_geop5000.parquet,0.1930629951727245,260.52117907656327,260.82534988887073,268.2,6235.246895836741,1168.0157875565951,3.4701571590648634,0.9865059043773088
00060820_geop5000.parquet,0.5561936595705406,264.0142489095322,264.76692207029816,268.03,5574.474609361962,849.0693084789901,7.982956305787886,0.9695314131799923
00062616_geop5000.parquet,0.3474606769363168,258.4647889104933,257.5928926691448,270.75,6304.235520446136,1161.7552510530163,5.102342056640747,0.9801196112434162
00062618_geop5000.parquet,0.3627183604838234,257.6875127483578,256.8696304224863,271.91,6404.091867340913,1214.9090488034078,5.2326462973153705,0.979578693301819
00062718_geop5000.parquet,0.4021873994468014,259.7942562886316,259.174935279218,269.92999999999995,6219.164249452208,1119.1796227128173,5.705672040968185,0.9778867454244373
00062811_geop5000.parquet,1.2021871749427475,254.82042739542013,255.34375714480075,263.08,6603.841578427924,1177.421315117929,13.950829352969523,0.9452874187819436
00062813_geop5000.parquet,1.29013140347235,254.9510065531884,255.11793505373197,265.45,6650.645295708758,1166.200448709086,14.841988857136068,0.9418318518952735
00063010_geop5000.parquet,0.9183441798991568,263.6713276286813,264.72473858269524,264.26,5698.010712320597,931.7367045722924,12.261785540576819,0.9533506322873265
00063013_geop5000.parquet,0.8353406308395823,263.7808716111599,264.6954680033251,269.51,5926.729999604151,1089.0644508743403,10.766662263939669,0.9590697616252
00063016_geop5000.parquet,0.8795968780506528,264.3282392125781,264.1678896181056,274.67999999999995,5969.835255906372,1021.8959836627388,11.106317788615932,0.957855587893502
00070110_geop5000.parquet,0.5583096591315895,260.4106838571389,261.58165564358615,263.73,6305.001322769664,1151.2866378577655,7.354818796951458,0.9716615583946561
00070113_geop5000.parquet,0.8235836097689899,261.80315314114216,262.5781110633287,268.81,6160.940871775302,1142.7067525711768,10.35346146905536,0.9603692990411375
00071214_geop5000.parquet,0.5457081745547168,257.5773611544748,257.5074864692592,267.77,6164.584944135813,1040.0604869896308,7.3776274873563965,0.9712049716103536
00071219_geop5000.parquet,0.5436788425558865,256.68631459809126,255.57213671383735,267.71,6297.08727449508,1110.2450534720415,7.27166210459266,0.971542919104602
00071315_geop5000.parquet,0.2647011609960867,261.05204464272555,261.33625280470426,269.62,6050.050063947061,1222.0790991758563,4.320631631939488,0.9832535748089353
