filename,T_sky_K,Transmission
00060716_geop5000.parquet,4.2739972169557845,0.9835200093751421
00060814_geop5000.parquet,2.188172068848694,0.9914298016631267
00060820_geop5000.parquet,4.189673156583529,0.9838945520783676
00062616_geop5000.parquet,2.9117132798601713,0.9885847416820776
00062618_geop5000.parquet,2.970705945109885,0.9883414900766138
00062718_geop5000.parquet,3.1759506112648053,0.9876130534317908
00062811_geop5000.parquet,6.877130137023191,0.972959328135236
00062813_geop5000.parquet,7.284803190358014,0.9713787325921338
00063010_geop5000.parquet,6.104891543621601,0.9766649225986122
00063013_geop5000.parquet,5.425152548270807,0.9792752624365463
00063016_geop5000.parquet,5.5768561058791715,0.9787332001763651
00070110_geop5000.parquet,3.899958257346165,0.9849013115711875
00070113_geop5000.parquet,5.245654360690554,0.9798319100167846
00071214_geop5000.parquet,3.9345524636751,0.9845535545835565
00071219_geop5000.parquet,3.888081359256526,0.9847010516366215
00071315_geop5000.parquet,2.5708501325596407,0.9899546195781905
00071319_geop5000.parquet,2.5547342521107166,0.9900191091000587
00071513_geop5000.parquet,5.182600893218742,0.9797852984093839
00071721_geop5000.parquet,7.217440902723933,0.9715728644403925
00071918_geop5000.parquet,3.2740574389361314,0.9872293178067468
00072302_geop5000.parquet,4.064220306179097,0.9839460709800297
00072504_geop5000.parquet,3.637696723380959,0.9858737449579192
00072518_geop5000.parquet,4.016268160638578,0.9845725629495922
00072617_geop5000.parquet,6.5788559397351465,0.9744090174090211
00072818_geop5000.parquet,5.658291397076781,0.9781465264286919
00072910_geop5000.parquet,6.403583554686512,0.9749702754780775
00073018_geop5000.parquet,4.591736584124125,0.9819843009088312
00073109_geop5000.parquet,2.8374987179900404,0.9889213076833442
00073118_geop5000.parquet,2.7025288404780796,0.9895326243065604
00080313_geop5000.parquet,2.1538359274498378,0.9915695893711919
00080322_geop5000.parquet,3.7056012144989263,0.9856371716401768
00080411_geop5000.parquet,4.749428745460669,0.9817969474021533
00080603_geop5000.parquet,4.471773313651562,0.9827366112803362
00082215_geop5000.parquet,6.67406485479549,0.974395744895393
00121216_geop5000.parquet,20.57503871108122,0.9218589593811617
00121316_geop5000.parquet,5.887258217714948,0.9776778181022838
00121318_geop5000.parquet,5.950744366948934,0.9774715407346969
00121414_geop5000.parquet,4.654188496786294,0.9823031447561718
00121418_geop5000.parquet,5.020578344465275,0.9809593441802678
00121514_geop5000.parquet,5.710432182099096,0.9782377895090459
00121518_geop5000.parquet,3.271762455032235,0.987453243865045
00121614_geop5000.parquet,6.367651196138268,0.9760560761726497
00121615_geop5000.parquet,8.924868762027725,0.9665603231797735
00121618_geop5000.parquet,6.446101872124261,0.9758811962715545
00121713_geop5000.parquet,12.391333472142932,0.9537224636500432
01040403_geop5000.parquet,18.11937361925645,0.9320682171147268
01040405_geop5000.parquet,14.755260889460835,0.9444963174472819
01040507_geop5000.parquet,9.246027564718489,0.9649478502892136
01040508_geop5000.parquet,7.06254429212966,0.9731780406902807
01040608_geop5000.parquet,7.737644504786266,0.9705200357516577
01040609_geop5000.parquet,7.799567191005136,0.9704857385990941
01040901_geop5000.parquet,17.54631832052215,0.9338106919473304
01040903_geop5000.parquet,11.72793953324111,0.9554138455305596
01040905_geop5000.parquet,9.604818909459256,0.9631396972093087
01041001_geop5000.parquet,10.204713255555285,0.9615826765918557
01041003_geop5000.parquet,6.360835252253274,0.975676382101562
01041006_geop5000.parquet,11.834082171722336,0.9552523650672216
01041008_geop5000.parquet,6.268645737758477,0.976283160358241
01041101_geop5000.parquet,15.34378168588677,0.9423967434664543
01041103_geop5000.parquet,15.97317438976619,0.9401672062649
