   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 39
15:25:00.18   558.41    8.19 9999.00   12.37     5000 9999.00 9999.00   999.0     999     0.00       0   8.530
15:25:28.96   557.73    6.42  -21.76   11.11     5010   79.38    2.92   999.0     999     1.67       0   8.470
15:25:30.00   557.19    6.21  -21.74   11.29     5018   82.95    7.55   999.0     999     2.70       0   8.450
15:25:30.99   556.72    6.09  -21.68   11.44     5025   82.90    9.75     4.2     248     3.73       0   8.470
15:25:32.04   556.19    5.95  -21.63   11.61     5033   82.35   13.48     4.6     250     4.76       0   8.450
15:25:33.08   555.71    5.94  -21.44   11.81     5040   82.55   16.42     4.6     250     5.79       0   8.460
15:25:34.12   555.21    5.98  -21.21   12.02     5047   81.55   16.98     4.7     251     6.82       0   8.450
15:25:35.11   554.69    6.03  -20.99   12.21     5055   80.80   19.65     4.7     251     7.85       0   8.450
15:25:36.16   554.17    6.03  -20.80   12.41     5062   81.70   22.08     4.8     252     8.88       0   8.450
15:25:37.20   553.63    6.00  -20.67   12.58     5070   79.63   22.15     4.9     253     9.91       0   8.450
15:25:38.24   553.04    5.94  -20.59   12.73     5079   77.28   23.80     5.0     253    10.94       0   8.460
15:25:39.23   552.49    5.88  -20.51   12.86     5087   77.35   25.48     5.1     254    11.96       0   8.440
15:25:40.28   551.90    5.81  -20.46   12.98     5096   77.51   27.45     5.2     255    12.99       0   8.440
15:25:41.32   551.31    5.71  -20.43   13.10     5105   77.72   30.08     5.3     256    14.02       0   8.490
15:25:42.31   550.75    5.60  -20.41   13.23     5113   76.99   28.59     5.3     256    15.05       0   8.450
15:25:43.35   550.12    5.46  -20.40   13.37     5122   77.10   30.37     5.4     257    16.08       0   8.450
15:25:44.40   549.51    5.32  -20.38   13.52     5131   77.22   32.63     5.4     258    17.11       0   8.450
15:25:45.44   548.91    5.17  -20.37   13.68     5140   76.10   29.98     5.5     258    18.14       0   8.440
15:25:46.43   548.32    5.03  -20.34   13.84     5149   76.13   31.53     5.5     259    19.17       0   8.440
15:25:47.47   547.75    4.90  -20.31   14.01     5157   76.18   33.40     5.5     260    20.20       0   8.440
15:25:48.51   547.21    4.77  -20.27   14.19     5166   75.82   32.46     5.5     261    21.23       0   8.440
15:25:49.56   546.66    4.65  -20.23   14.36     5174   75.83   33.91     5.5     262    22.26       0   8.430
15:25:50.55   546.16    4.52  -20.19   14.54     5181   75.85   35.47     5.6     263    23.29       0   8.430
15:25:51.59   545.69    4.38  -20.16   14.71     5188   77.48   34.28     5.6     264    24.32       0   8.430
15:25:52.63   545.21    4.25  -20.14   14.88     5195   77.56   35.61     5.6     265    25.35       0   8.410
15:25:53.68   544.78    4.10  -20.13   15.05     5202   77.65   36.97     5.7     266    26.38       0   8.430
15:25:54.67   544.35    3.96  -20.12   15.21     5208   77.62   35.05     5.8     267    27.41       0   8.420
15:25:55.71   543.97    3.82  -20.11   15.37     5214   77.70   36.27     5.9     268    28.44       0   8.430
15:25:56.75   543.57    3.69  -20.10   15.53     5220   77.50   33.21     6.0     269    29.47       0   8.420
15:25:57.80   543.19    3.55  -20.10   15.69     5226   77.57   34.27     6.0     270    30.50       0   8.420
15:25:58.79   542.83    3.41  -20.09   15.86     5231   77.64   35.34     6.1     271    31.53       0   8.430
15:25:59.83   542.48    3.26  -20.09   16.03     5236   77.87   33.69     6.2     273    32.56       0   8.420
15:26:00.87   542.21    3.12  -20.08   16.21     5240   77.94   34.67     6.2     274    33.59       0   8.420
15:26:01.92   541.92    2.98  -20.06   16.39     5245   78.02   35.65     6.2     275    34.62       0   8.420
15:26:02.90   541.66    2.86  -20.02   16.57     5248   78.75   33.31     6.2     276    35.65       0   8.400
15:26:03.95   541.39    2.76  -19.98   16.76     5252   78.85   34.20     6.2     278    36.68       0   8.420
15:26:04.99   541.10    2.66  -19.93   16.95     5257   78.94   35.08     6.1     279    37.71       0   8.400
15:26:06.04   540.81    2.58  -19.87   17.13     5261   81.65   34.17     6.0     280    38.74       0   8.400
15:26:07.02   540.51    2.51  -19.81   17.31     5266   81.82   35.01     5.9     281    39.77       0   8.410
15:26:08.07   540.19    2.45  -19.75   17.49     5270   81.98   35.84     5.7     282    40.80       0   8.430
15:26:09.11   539.90    2.39  -19.68   17.66     5275   81.41   34.01     5.5     284    41.83       0   8.410
15:26:10.16   539.62    2.34  -19.62   17.82     5279   81.56   34.79     5.3     285    42.86       0   8.410
15:26:11.20   539.30    2.30  -19.55   17.97     5284   81.70   35.57     5.1     286    43.90       0   8.410
15:26:12.19   539.00    2.26  -19.49   18.12     5288   82.87   34.37     4.8     288    44.93       0   8.400
15:26:13.23   538.69    2.23  -19.42   18.27     5293   83.04   35.10     4.5     290    45.96       0   8.400
15:26:14.27   538.36    2.21  -19.35   18.40     5298   83.28   36.10     4.2     291    46.99       0   8.390
15:26:15.32   538.06    2.19  -19.28   18.54     5302   85.10   35.19     3.9     294    48.02       0   8.410
15:26:16.31   537.74    2.17  -19.22   18.66     5307   85.31   35.89     3.6     296    49.05       0   8.400
15:26:17.35   537.38    2.15  -19.16   18.78     5312   85.57   36.80     3.3     299    50.08       0   8.400
15:26:18.39   537.03    2.13  -19.11   18.90     5318   87.24   35.54     3.0     303    51.11       0   8.400
15:26:19.44   536.67    2.09  -19.08   19.00     5323   87.48   36.20     2.8     307    52.14       0   8.390
15:26:20.43   536.31    2.04  -19.06   19.11     5329   87.78   37.03     2.5     312    53.17       0   8.390
15:26:21.47   535.95    1.98  -19.04   19.20     5334   88.07   36.08     2.4     318    54.20       0   8.390
15:26:22.51   535.58    1.92  -19.04   19.30     5339   88.31   36.71     2.2     324    55.23       0   8.400
15:26:23.56   535.19    1.85  -19.04   19.38     5345   88.57   37.42     2.1     331    56.26       0   8.390
15:26:24.55   534.84    1.79  -19.05   19.46     5351   89.48   37.17     2.1     337    57.29       0   8.370
