   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 263
18:56:35.88   559.56    3.83 9999.00   15.81     5000 9999.00 9999.00   999.0     999     0.00       0   8.330
18:57:17.57   558.71    2.29  -20.99   15.87     5012   91.88   10.73   999.0     999     2.76       0   8.330
18:57:18.56   558.32    1.99  -21.21   15.89     5018   91.72   10.70    12.2     279     3.78       0   8.320
18:57:19.60   557.89    1.76  -21.37   15.94     5024   92.18   13.48    12.1     279     4.80       0   8.330
18:57:20.59   557.49    1.37  -21.65   16.00     5030   93.28   14.88    12.0     279     5.82       0   8.330
18:57:21.63   557.12    1.02  -21.88   16.07     5035   93.68   15.40    11.9     279     6.84       0   8.320
18:57:22.68   556.77    0.74  -22.06   16.14     5040   95.85   16.88    11.8     279     7.87       0   8.320
18:57:23.66   556.40    0.52  -22.19   16.21     5046   96.00   17.17    11.6     279     8.89       0   8.320
18:57:24.71   556.07    0.35  -22.28   16.28     5050   96.07   17.08    11.4     279     9.91       0   8.330
18:57:25.70   555.75    0.21  -22.34   16.36     5055   97.25   18.25    11.3     279    10.93       0   8.330
18:57:26.74   555.46    0.10  -22.38   16.43     5059   96.53   18.90    11.1     279    11.95       0   8.330
18:57:27.78   555.13    0.02  -22.40   16.50     5064   96.93   19.13    11.0     279    12.98       0   8.330
18:57:28.77   554.77   -0.05  -22.40   16.58     5069   96.78   18.88    10.9     279    14.00       0   8.330
18:57:29.82   554.46   -0.09  -22.39   16.65     5074   96.93   18.88    10.8     279    15.02       0   8.320
18:57:30.80   554.08   -0.12  -22.38   16.71     5079   97.40   19.15    10.7     279    16.04       0   8.320
18:57:31.85   553.74   -0.16  -22.36   16.78     5084   97.32   17.58    10.7     279    17.06       0   8.320
18:57:32.84   553.44   -0.19  -22.35   16.83     5088   97.80   18.42    10.6     279    18.08       0   8.320
18:57:33.88   553.10   -0.22  -22.34   16.88     5093   97.51   17.77    10.6     279    19.11       0   8.320
18:57:34.92   552.76   -0.25  -22.33   16.94     5098   97.95   18.53    10.5     279    20.13       0   8.310
18:57:35.91   552.41   -0.29  -22.31   17.00     5103   98.38   19.30    10.5     279    21.15       0   8.320
18:57:36.96   552.01   -0.32  -22.30   17.07     5109   97.53   18.80    10.5     279    22.17       0   8.300
18:57:38.00   551.68   -0.36  -22.27   17.14     5114   97.91   19.50    10.6     279    23.19       0   8.310
18:57:38.99   551.27   -0.38  -22.25   17.22     5120   98.29   20.22    10.6     279    24.22       0   8.310
18:57:40.03   550.92   -0.40  -22.21   17.30     5125   97.89   19.73    10.7     279    25.24       0   8.300
18:57:41.02   550.59   -0.41  -22.17   17.38     5130   98.23   20.39    10.7     279    26.26       0   8.350
18:57:42.06   550.24   -0.42  -22.12   17.46     5135   98.58   21.05    10.7     279    27.28       0   8.320
18:57:43.11   549.92   -0.42  -22.07   17.54     5139   97.62   20.20    10.7     279    28.30       0   8.300
18:57:44.10   549.60   -0.43  -22.03   17.62     5144   97.92   20.81    10.7     279    29.33       0   8.310
18:57:45.14   549.33   -0.45  -21.99   17.70     5148   98.22   21.41    10.7     279    30.35       0   8.310
18:57:46.13   549.02   -0.49  -21.97   17.79     5152   97.60   20.23    10.6     278    31.37       0   8.300
18:57:47.17   548.75   -0.55  -21.97   17.87     5156   97.87   20.78    10.5     278    32.39       0   8.310
18:57:48.22   548.48   -0.61  -21.97   17.94     5160   98.14   21.32    10.4     278    33.41       0   8.310
18:57:49.20   548.17   -0.68  -21.98   18.02     5165   98.00   20.63    10.4     278    34.44       0   8.300
18:57:50.25   547.91   -0.76  -21.99   18.10     5169   98.25   21.13    10.3     278    35.46       0   8.300
18:57:51.24   547.63   -0.83  -22.01   18.17     5173   98.63   21.88    10.2     277    36.48       0   8.310
18:57:52.28   547.35   -0.90  -22.02   18.24     5177   98.24   20.50    10.1     277    37.50       0   8.290
18:57:53.32   547.09   -0.97  -22.03   18.31     5181   98.48   20.97    10.0     277    38.52       0   8.310
18:57:54.31   546.78   -1.03  -22.04   18.38     5185   98.82   21.63     9.9     277    39.55       0   8.300
18:57:55.36   546.50   -1.09  -22.05   18.45     5189   98.18   20.65     9.8     276    40.57       0   8.310
18:57:56.34   546.24   -1.14  -22.05   18.52     5193   98.41   21.08     9.7     276    41.59       0   8.300
18:57:57.39   545.99   -1.19  -22.05   18.59     5197   98.70   21.65     9.6     276    42.61       0   8.300
18:57:58.43   545.67   -1.24  -22.05   18.66     5201   98.27   21.06     9.5     275    43.63       0   8.320
18:57:59.42   545.34   -1.29  -22.04   18.74     5206   98.48   21.48     9.5     275    44.66       0   8.310
18:58:00.46   545.02   -1.34  -22.03   18.82     5211   98.75   22.00     9.5     275    45.68       0   8.300
18:58:01.51   544.65   -1.38  -22.02   18.91     5216   97.55   21.14     9.5     275    46.70       0   8.290
18:58:02.50   544.33   -1.43  -22.00   18.99     5221   97.73   21.52     9.6     275    47.72       0   8.290
18:58:03.54   543.97   -1.47  -21.99   19.09     5226   97.95   22.00     9.6     275    48.75       0   8.300
18:58:04.53   543.57   -1.52  -21.97   19.18     5232   97.76   21.66     9.7     275    49.77       0   8.300
18:58:05.57   543.17   -1.57  -21.95   19.28     5238   97.93   22.03     9.8     275    50.79       0   8.300
18:58:06.62   542.70   -1.62  -21.93   19.39     5245   98.13   22.45     9.8     275    51.81       0   8.290
18:58:07.60   542.22   -1.66  -21.90   19.50     5252   97.83   22.19     9.9     275    52.83       0   8.290
18:58:08.65   541.73   -1.71  -21.88   19.61     5259   98.00   22.56     9.9     275    53.86       0   8.290
18:58:09.64   541.26   -1.76  -21.86   19.72     5266   98.18   22.95     9.9     275    54.88       0   8.290
18:58:10.68   540.78   -1.81  -21.83   19.84     5273   97.24   22.65    10.0     275    55.90       0   8.290
18:58:11.72   540.34   -1.86  -21.81   19.95     5279   97.38   23.00    10.0     275    56.92       0   8.290
18:58:12.71   539.92   -1.92  -21.79   20.06     5286   96.67   22.84    10.0     275    57.94       0   8.300
18:58:13.76   539.47   -1.98  -21.78   20.17     5292   96.80   23.19    10.1     275    58.97       0   8.300
18:58:14.74   539.06   -2.04  -21.77   20.28     5298   96.93   23.53    10.1     275    59.99       0   8.280
18:58:15.79   538.64   -2.10  -21.76   20.39     5304   96.53   23.24    10.1     275    61.01       0   8.290
18:58:16.83   538.25   -2.17  -21.75   20.51     5310   96.65   23.57    10.2     275    62.03       0   8.290
18:58:17.82   537.85   -2.23  -21.74   20.62     5316   96.77   23.90    10.2     275    63.06       0   8.280
18:58:18.86   537.44   -2.30  -21.74   20.73     5322   96.08   23.43    10.2     276    64.08       0   8.290
18:58:19.91   537.03   -2.36  -21.73   20.84     5328   96.18   23.75    10.2     276    65.10       0   8.290
18:58:20.90   536.59   -2.43  -21.73   20.95     5335   96.29   24.07    10.2     276    66.12       0   8.300
18:58:21.94   536.16   -2.49  -21.73   21.05     5341   96.02   23.84    10.2     276    67.14       0   8.300
18:58:22.93   535.72   -2.55  -21.73   21.14     5348   96.12   24.16    10.1     276    68.17       0   8.280
18:58:23.97   535.33   -2.61  -21.73   21.23     5353   96.22   24.47    10.1     276    69.19       0   8.290
18:58:25.02   534.99   -2.67  -21.74   21.31     5358   95.96   24.06    10.1     276    70.21       0   8.270
18:58:26.00   534.63   -2.73  -21.75   21.39     5364   96.06   24.36    10.1     276    71.23       0   8.280
18:58:27.05   534.22   -2.79  -21.76   21.47     5370   96.16   24.66    10.0     276    72.26       0   8.290
18:58:28.04   533.78   -2.85  -21.76   21.55     5376   96.37   24.46     9.9     276    73.28       0   8.280
18:58:29.08   533.29   -2.91  -21.78   21.63     5384   96.47   24.75     9.9     276    74.30       0   8.270
18:58:30.12   532.79   -2.98  -21.79   21.71     5391   96.57   25.05     9.8     276    75.32       0   8.290
18:58:31.11   532.26   -3.04  -21.80   21.79     5399   96.48   24.92     9.7     276    76.35       0   8.280
18:58:32.16   531.78   -3.11  -21.81   21.88     5406   96.58   25.20     9.6     276    77.37       0   8.280
18:58:33.14   531.33   -3.18  -21.83   21.96     5413   96.67   25.49     9.6     276    78.39       0   8.280
18:58:34.19   530.94   -3.25  -21.85   22.04     5419   96.78   25.29     9.5     276    79.41       0   8.270
18:58:35.23   530.55   -3.33  -21.87   22.12     5424   96.88   25.57     9.4     276    80.44       0   8.270
18:58:36.22   530.17   -3.40  -21.89   22.20     5430   96.98   25.86     9.4     276    81.46       0   8.260
18:58:37.26   529.81   -3.46  -21.91   22.27     5435   96.87   25.34     9.3     276    82.48       0   8.280
18:58:38.31   529.46   -3.53  -21.92   22.34     5440   96.97   25.61     9.3     276    83.50       0   8.290
18:58:39.30   529.14   -3.58  -21.94   22.41     5445   97.10   26.00     9.2     277    84.52       0   8.270
18:58:40.34   528.81   -3.64  -21.95   22.48     5450   97.01   25.38     9.2     277    85.55       0   8.280
18:58:41.33   528.47   -3.69  -21.96   22.55     5455   97.10   25.64     9.1     276    86.57       0   8.270
18:58:42.37   528.13   -3.74  -21.97   22.61     5460   97.22   26.00     9.1     276    87.59       0   8.280
