   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 78
12:49:58.05   556.62    1.61 9999.00   23.20     5000 9999.00 9999.00   999.0     999     0.00       0   8.020
12:50:02.01   556.78    0.91  -17.55   23.56     4998  225.14-547979575604422474000000.00   999.0     999     1.06       0   7.980
12:50:03.11   556.73    0.93  -17.54   23.56     4998  271.01-218017259675038287000000.00   999.0     999     2.14       0   7.980
12:50:04.15   556.72    0.94  -17.52   23.56     4999  246.01-395617066840630661000000.00   999.0     999     3.21       0   7.980
12:50:05.25   556.72    0.95  -17.51   23.58     4999  268.19-235261549381649124000000.00   999.0     999     4.29       0   7.980
12:50:06.35   556.71    1.00  -17.47   23.59     4999  290.18-76390805233048179700000.00   999.0     999     5.36       0   7.980
12:50:07.39   556.71    1.06  -17.41   23.60     4999  267.65-240796749227988512000000.00   999.0     999     6.44       0   7.960
12:50:08.49   556.73    1.13  -17.34   23.61     4998  282.20-135863602815935686000000.00   999.0     999     7.51       0   7.960
12:50:09.53   556.75    1.22  -17.26   23.62     4998  121.05    0.00   999.0     999     8.59       0   7.960
12:50:10.63   556.77    1.31  -17.17   23.64     4998  278.71-161178313512153965000000.00   999.0     999     9.67       0   7.950
12:50:11.73   556.74    1.42  -17.07   23.66     4998  289.63-82478453835021380800000.00   999.0     999    10.74       0   7.940
12:50:12.77   556.76    1.56  -16.94   23.68     4998  121.07    0.00   999.0     999    11.82       0   7.940
12:50:13.87   556.74    1.73  -16.79   23.69     4998  284.74-116794960725506060000000.00   999.0     999    12.89       0   7.940
12:50:14.92   556.74    1.92  -16.62   23.70     4998  293.51-53481158475202487600000.00   999.0     999    13.97       0   7.940
12:50:16.01   556.74    2.11  -16.46   23.71     4998  281.74-139532278118271920000000.00   999.0     999    15.04       0   7.950
12:50:17.11   556.72    2.27  -16.32   23.72     4999  289.04-86900252373028769400000.00   999.0     999    16.12       0   7.940
12:50:18.16   556.71    2.40  -16.20   23.74     4999  296.28-34755560198570575400000.00   999.0     999    17.19       0   7.930
12:50:19.25   556.71    2.52  -16.08   23.77     4999 9999.00 9999.00   999.0     999    18.27       0   7.930
12:50:20.30   556.72    2.62  -15.97   23.81     4999 9999.00 9999.00   999.0     999    19.34       0   7.930
12:50:21.40   556.72    2.73  -15.86   23.86     4999 9999.00 9999.00   999.0     999    20.42       0   7.920
12:50:22.44   556.72    2.84  -15.74   23.90     4998 9999.00 9999.00   999.0     999    21.50       0   7.920
12:50:23.54   556.72    2.95  -15.63   23.94     4998 9999.00 9999.00   999.0     999    22.57       0   7.910
12:50:24.64   556.71    3.06  -15.52   23.97     4999 9999.00 9999.00   999.0     999    23.65       0   7.910
12:50:25.68   556.68    3.17  -15.42   23.99     4999 9999.00 9999.00   999.0     999    24.72       0   7.900
12:50:26.78   556.66    3.26  -15.33   24.00     4999 9999.00 9999.00   999.0     999    25.80       0   7.900
12:50:27.82   556.67    3.35  -15.25   24.01     4999  261.46-87815098558089598600000.00   999.0     999    26.87       0   7.900
12:50:28.92   556.67    3.44  -15.18   24.00     4999  264.73-56274583112858384500000.00   999.0     999    27.95       0   7.900
12:50:29.96   556.70    3.53  -15.11   24.00     4999  267.98-25026109477540665000000.00   999.0     999    29.02       0   7.890
12:50:31.06   556.71    3.62  -15.03   23.99     4999  262.92-74206112754217135400000.00   999.0     999    30.10       0   7.900
12:50:32.16   556.70    3.73  -14.95   23.98     4999  265.87-45826864592506429900000.00   999.0     999    31.17       0   7.900
12:50:33.21   556.69    3.83  -14.87   23.96     4999  268.84-17182389811383019500000.00   999.0     999    32.25       0   7.890
12:50:34.30   556.68    3.93  -14.79   23.95     4999  264.24-61889394631738419800000.00   999.0     999    33.32       0   7.880
12:50:35.35   556.70    4.02  -14.73   23.92     4999  266.97-35613681936192973600000.00   999.0     999    34.40       0   7.890
12:50:36.45   556.71    4.09  -14.68   23.90     4999   90.68    0.00   999.0     999    35.47       0   7.880
12:50:37.49   556.70    4.14  -14.66   23.85     4999  265.28-52389579985655259200000.00   999.0     999    36.55       0   7.870
12:50:38.59   556.69    4.17  -14.67   23.79     4999  267.77-28379453376038382300000.00   999.0     999    37.62       0   7.870
12:50:39.69   556.69    4.20  -14.68   23.72     4999   90.72    0.00   999.0     999    38.70       0   7.870
12:50:40.73   556.69    4.25  -14.69   23.63     4999  266.08-44467549690819776600000.00   999.0     999    39.77       0   7.860
12:50:41.83   556.70    4.31  -14.68   23.52     4999  268.42-21979947590815955600000.00   999.0     999    40.85       0   7.860
12:50:42.87   556.73    4.37  -14.69   23.41     4998  264.76-57395622061958339000000.00   999.0     999    41.92       0   7.860
12:50:43.97   556.76    4.38  -14.74   23.30     4998  266.94-36394348622963862900000.00   999.0     999    43.00       0   7.860
12:50:45.01   556.75    4.34  -14.84   23.19     4998  269.10-15587531419735788900000.00   999.0     999    44.07       0   7.860
12:50:46.11   556.74    4.24  -14.98   23.07     4998  265.48-49965907289345976400000.00   999.0     999    45.15       0   7.860
12:50:47.21   556.71    4.11  -15.15   22.97     4999  267.51-30471446682057423500000.00   999.0     999    46.22       0   7.850
12:50:48.26   556.68    3.96  -15.33   22.86     4999  269.55-10794794855063865000000.00   999.0     999    47.30       0   7.850
12:50:49.35   556.70    3.81  -15.51   22.76     4999  266.22-43589201550288829300000.00   999.0     999    48.37       0   7.850
12:50:50.40   556.70    3.64  -15.70   22.66     4999  268.14-25079988616966355000000.00   999.0     999    49.45       0   7.850
12:50:51.50   556.74    3.48  -15.89   22.57     4998   90.75    0.00   999.0     999    50.52       0   7.840
12:50:52.59   556.74    3.31  -16.08   22.48     4998  266.93-36913998219139298100000.00   999.0     999    51.60       0   7.840
12:50:53.64   556.76    3.14  -16.27   22.39     4998  268.74-19585588797646271700000.00   999.0     999    52.67       0   7.840
12:50:54.74   556.76    2.98  -16.45   22.30     4998   90.78    0.00   999.0     999    53.75       0   7.830
12:50:55.78   556.73    2.83  -16.63   22.21     4998  267.43-31901110063372685000000.00   999.0     999    54.82       0   7.830
12:50:56.88   556.73    2.70  -16.79   22.13     4998  269.15-15339295004593106200000.00   999.0     999    55.90       0   7.830
12:50:57.92   556.75    2.58  -16.93   22.04     4998  266.37-42068038617189178100000.00   999.0     999    56.98       0   7.820
12:50:59.02   556.76    2.48  -17.05   21.96     4998  268.00-26472470127544404800000.00   999.0     999    58.05       0   7.820
12:51:00.12   556.78    2.43  -17.14   21.89     4998  269.63-10731148661163246500000.00   999.0     999    59.13       0   7.830
12:51:01.16   556.78    2.42  -17.18   21.82     4998  266.87-37284786701330418800000.00   999.0     999    60.20       0   7.810
12:51:02.26   556.78    2.47  -17.18   21.76     4998  268.43-22299598584138986200000.00   999.0     999    61.28       0   7.820
12:51:03.30   556.79    2.57  -17.12   21.71     4998  269.97-7453162209746607930000.00   999.0     999    62.35       0   7.860
12:51:04.40   556.78    2.69  -17.04   21.66     4998  267.39-32807607259342156300000.00   999.0     999    63.43       0   7.820
12:51:05.45   556.77    2.81  -16.97   21.61     4998  268.86-18641632555207961400000.00   999.0     999    64.50       0   7.810
12:51:06.55   556.75    2.90  -16.92   21.56     4998   90.80    0.00   999.0     999    65.58       0   7.810
12:51:07.64   556.74    2.97  -16.89   21.52     4998  267.80-28176588414885684100000.00   999.0     999    66.65       0   7.810
12:51:08.69   556.74    3.03  -16.86   21.48     4998  269.22-14493940577842464000000.00   999.0     999    67.73       0   7.810
12:51:09.79   556.74    3.10  -16.82   21.44     4998   90.72    0.00   999.0     999    68.80       0   7.810
12:51:10.83   556.73    3.21  -16.75   21.41     4998  268.23-24454918941720533000000.00   999.0     999    69.88       0   7.800
12:51:11.93   556.70    3.33  -16.67   21.37     4999  269.58-11468540290794411500000.00   999.0     999    70.95       0   7.810
12:51:12.97   556.71    3.42  -16.61   21.33     4999  267.23-33612593277551297700000.00   999.0     999    72.03       0   7.800
12:51:14.07   556.71    3.48  -16.59   21.29     4999  268.53-21149858929671682400000.00   999.0     999    73.10       0   7.800
12:51:15.17   556.70    3.47  -16.62   21.25     4999  269.83-8570650427512292640000.00   999.0     999    74.18       0   7.790
12:51:16.21   556.71    3.40  -16.70   21.20     4999  267.15-29486523546987145500000.00   999.0     999    75.25       0   7.780
12:51:17.31   556.70    3.28  -16.83   21.16     4999  268.40-17386354017171146800000.00   999.0     999    76.33       0   7.780
12:51:18.35   556.70    3.14  -16.97   21.11     4999   90.20    0.00   999.0     999    77.40       0   7.790
12:51:19.45   556.71    3.00  -17.11   21.07     4999  267.30-26130304365590690700000.00   999.0     999    78.48       0   7.790
12:51:20.50   556.72    2.86  -17.24   21.03     4998  268.50-14589795439890512500000.00   999.0     999    79.55       0   7.790
12:51:21.59   556.73    2.76  -17.35   21.00     4998   90.00    0.00   999.0     999    80.63       0   7.790
12:51:22.69   556.69    2.70  -17.41   20.98     4999  267.38-22563360505629423700000.00   999.0     999    81.70       0   7.780
12:51:23.74   556.69    2.69  -17.42   20.98     4999  268.54-11326922790784326400000.00   999.0     999    82.78       0   7.780
12:51:24.84   556.67    2.74  -17.37   20.99     4999   89.70    0.00   999.0     999    83.85       0   7.770
12:51:25.88   556.69    2.84  -17.27   21.02     4999  267.58-19679076174713178800000.00   999.0     999    84.93       0   7.760
12:51:26.98   556.72    2.97  -17.14   21.06     4998  268.68-8933709769407450840000.00   999.0     999    86.00       0   7.770
