   TIME       PMB      TEMP    TDEW     RH      GEOP     AZ      EL   SPEED     DIR   E.TIME   RT    Battery
               mb       øC      øC      %      meters    deg     deg   m/s      deg    secs  Status     v
Scale Factors  1.00000 1.00000   Flight # 91
19:31:56.72   555.17    4.87 9999.00   11.88     5000 9999.00 9999.00   999.0     999     0.00       0   8.660
19:31:59.24   555.03    3.31  -23.49   11.83     5002 9999.00 9999.00   999.0     999     1.07       0   8.630
19:32:00.29   555.06    3.37  -23.44   11.83     5002 9999.00 9999.00   999.0     999     2.09       0   8.650
19:32:01.33   555.09    3.43  -23.39   11.83     5001 9999.00 9999.00   999.0     999     3.11       0   8.630
19:32:02.32   555.11    3.44  -23.39   11.83     5001 9999.00 9999.00   999.0     999     4.14       0   8.620
19:32:03.36   555.09    3.45  -23.38   11.83     5001 9999.00 9999.00   999.0     999     5.16       0   8.630
19:32:04.41   555.08    3.43  -23.40   11.83     5001 9999.00 9999.00   999.0     999     6.18       0   8.630
19:32:05.39   555.08    3.40  -23.42   11.83     5001 9999.00 9999.00   999.0     999     7.21       0   8.620
19:32:06.44   555.07    3.42  -23.41   11.82     5001 9999.00 9999.00   999.0     999     8.23       0   8.630
19:32:07.43   555.12    3.49  -23.36   11.82     5001 9999.00 9999.00   999.0     999     9.25       0   8.620
19:32:08.47   555.12    3.57  -23.29   11.82     5001 9999.00 9999.00   999.0     999    10.28       0   8.630
19:32:09.51   555.11    3.69  -23.20   11.82     5001 9999.00 9999.00   999.0     999    11.30       0   8.620
19:32:10.50   555.11    3.80  -23.12   11.81     5001 9999.00 9999.00   999.0     999    12.32       0   8.600
19:32:11.55   555.08    3.92  -23.03   11.81     5001  248.06-128388183068303713000000.00   999.0     999    13.35       0   8.620
19:32:12.59   555.07    4.07  -22.92   11.80     5001  253.26-71529179674503762900000.00   999.0     999    14.37       0   8.600
19:32:13.58   555.05    4.23  -22.80   11.80     5002   79.80    0.00   999.0     999    15.39       0   8.600
19:32:14.62   555.05    4.43  -22.65   11.79     5002  250.42-103530611256253231000000.00   999.0     999    16.41       0   8.590
19:32:15.67   555.07    4.60  -22.52   11.79     5001  254.84-55260149018147353000000.00   999.0     999    17.44       0   8.600
19:32:16.65   555.05    4.68  -22.45   11.78     5002   79.90    0.00   999.0     999    18.46       0   8.590
19:32:17.70   555.05    4.65  -22.48   11.78     5002  251.29-87098624095561403300000.00   999.0     999    19.48       0   8.600
19:32:18.69   555.02    4.49  -22.62   11.77     5002  255.06-45566424504550712900000.00   999.0     999    20.51       0   8.590
19:32:19.73   554.96    4.25  -22.81   11.77     5003   79.20    0.00   999.0     999    21.53       0   8.580
19:32:20.77   554.84    3.93  -23.08   11.75     5005  253.93-72911232643297555000000.00   999.0     999    22.55       0   8.570
19:32:21.76   554.73    3.57  -23.39   11.72     5007  257.31-36385146398452620500000.00   999.0     999    23.58       0   8.580
19:32:22.81   554.52    3.17  -23.74   11.68     5010   80.68    0.00   999.0     999    24.60       0   8.590
19:32:23.79   554.33    2.74  -24.11   11.65     5012  251.92-63388093828493402400000.00   999.0     999    25.62       0   8.590
19:32:24.84   554.14    2.32  -24.48   11.61     5015  254.81-30855913573885784600000.00   999.0     999    26.65       0   8.580
19:32:25.88   553.81    1.91  -24.83   11.57     5020  249.68-84783165056031148500000.00   999.0     999    27.67       0   8.590
19:32:26.93   553.44    1.52  -25.18   11.54     5025  252.27-55457561663556393400000.00   999.0     999    28.70       0   8.560
19:32:27.91   553.06    1.14  -25.51   11.50     5031  254.84-26416672868265625600000.00   999.0     999    29.72       0   8.570
19:32:28.96   552.69    0.79  -25.82   11.46     5036  255.56-74601928778816560300000.00   999.0     999    30.74       0   8.570
19:32:29.95   552.33    0.47  -26.11   11.43     5041  258.09-47863878636074820400000.00   999.0     999    31.77       0   8.560
19:32:30.99   552.02    0.18  -26.37   11.39     5046  260.60-21385421214890183400000.00   999.0     999    32.79       0   8.560
19:32:32.03   551.65   -0.08  -26.60   11.36     5051  254.68-67042714209687619800000.00   999.0     999    33.82       0   8.570
19:32:33.02   551.25   -0.30  -26.80   11.33     5057  256.94-42747637884900819900000.00   999.0     999    34.84       0   8.560
19:32:34.07   550.80   -0.48  -26.97   11.31     5064  259.19-18452561561471229600000.00   999.0     999    35.86       0   8.560
